"","location","Parameter","Coefficient","SE","LCI","UCI","RR","RR LCI","RR UCI","t-value","p-value","sig"
"1","Melbourne","(Intercept)",-13.119234772203,0.246923466630681,-13.6031958737369,-12.6352736706691,2.00626700878889e-06,1.23653694253251e-06,3.25514521410983e-06,,,"***"
"2",,".cbv1.l1",-0.110795860717292,0.193352982111772,-0.489760741959782,0.268169020525198,0.895121459731897,0.612772987510991,1.30756812719032,-0.573023800859942,0.56668499,
"3",,".cbv1.l2",-0.0886682112306743,0.131834382937453,-0.347058853712144,0.169722431250796,0.915149159421834,0.706763731364496,1.18497589339169,-0.672572732962551,0.50128719,
"4",,".cbv1.l3",-0.120683196767551,0.154095973573878,-0.422705755134987,0.181339361599885,0.886314702483114,0.655271414996928,1.1988219444021,-0.783169046981568,0.43360905,
"5",,".cbv2.l1",0.168297622800736,0.179254526127281,-0.183034792474529,0.519630038076002,1.18328873195203,0.832739182176277,1.68140547861029,0.938875165033405,0.34789412,
"6",,".cbv2.l2",-0.0783527155455759,0.140069331555887,-0.352883560733714,0.196178129642562,0.924638234741034,0.702659005713139,1.21674362413858,-0.559385232122091,0.57595368,
"7",,".cbv2.l3",-0.0307904526668912,0.147234573830784,-0.319364914654331,0.257784009320549,0.969678745383242,0.726610350156992,1.29405928369292,-0.209125152236855,0.83436919,
"8",,"Tue",0.0223790741240597,0.0388927829408925,-0.0538493796986234,0.0986075279467429,1.02263136409367,0.9475748197587,1.10363306941229,0.575404289224312,0.56507458,
"9",,"Wed",0.017706611398651,0.0392336706004419,-0.059189969959523,0.0946031927568249,1.01786430279406,0.942527700199721,1.09922258908985,0.45131161901664,0.65180782,
"10",,"Thu",-0.0381921879600772,0.0394922107048371,-0.115595498611425,0.0392111226912708,0.962527936833295,0.890835494622001,1.03999002596734,-0.967081540345354,0.33360566,
"11",,"Fri",-0.0491215825981462,0.0394894471238154,-0.126519476730223,0.0282763115339309,0.952065368080292,0.881156987319458,1.0286798812721,-1.2439166961272,0.21365787,
"12",,"Sat",-0.024824761018283,0.0442561148118389,-0.111565152145157,0.0619156301085908,0.9754808393203,0.894433115268722,1.06387258212723,-0.560934034174238,0.57489753,
"13",,"Sun",0.012536562517144,0.044038694546401,-0.0737776927199626,0.0988508177542505,1.01261547463445,0.928878167269016,1.10390160475393,0.284671529123891,0.77592161,
"14",,"public.holYes",-0.0995758970541305,0.0648616423745888,-0.226702380086442,0.0275505859781806,0.905221243635512,0.79715799708265,1.02793361281937,-1.53520468197614,0.12487206,
"15",,"school.hols1",-0.0100961757140178,0.110724461571473,-0.227112132601694,0.206919781173658,0.989954619578213,0.79683142649942,1.22988390797982,-0.0911828838065807,0.92735527,
"16",,"school.hols3",0.0402153751695161,0.0960781127363143,-0.148094265496239,0.228525015835271,1.04103496313081,0.862349821276678,1.25674496326365,0.418569578691527,0.67557008,
"17",,"school.hols4",-0.0140603221401394,0.0439956922106975,-0.100290294348016,0.0721696500677371,0.986038062542656,0.904574786969632,1.07483767488151,-0.319584064567137,0.74931288,
"18",,"day1Yes",-0.131307223363398,0.0798705272919401,-0.287850580281824,0.0252361335550278,0.876948313990347,0.749873629774953,1.02555726041641,-1.64400095774313,0.10031363,
"19",,"sholXmas period",-0.0117506122878635,0.0663354208870679,-0.141765648125823,0.118264423550096,0.988318156534562,0.867824608980536,1.12554169175189,-0.177139334170628,0.85941465,
"20",,"sholNYE",-0.237555810544852,0.151660901753979,-0.534805715845518,0.0596940947558134,0.788552880187067,0.585783087461786,1.06151177485452,-1.56636158559977,0.11740252,
"21",,"sholNYD",0.296554444483447,0.156430757419115,-0.0100442061323402,0.603153095099234,1.34521579758277,0.990006068442548,1.82787318153823,1.89575534489619,0.05811853,"."
"22",,"shol2-4 Jan",0.145621540008558,0.0825883422566268,-0.0162486363572975,0.307491716374414,1.15675831845466,0.983882660640183,1.36000954264546,1.76322149143118,0.07799684,"."
"23",,"sholDay before Melbourne Cup",-0.234589870699159,0.152435228797995,-0.533357429118351,0.0641776877200336,0.790895152397047,0.586632083979149,1.06628184712001,-1.53894787018055,0.12395554,
"24",,"sholXmas Day or Eve",-0.117077258921109,0.108942168259302,-0.330599985107043,0.096445467264825,0.889516467426026,0.71849251927274,1.10124952535758,-1.07467347852343,0.28263446,
"25",,"Sat:public.holYes",0.0983000792455609,0.223843741812624,-0.340425592871865,0.537025751362986,1.10329381101346,0.711467462838921,1.71091061362591,0.43914597946565,0.66059731,
"26",,"Sun:public.holYes",-0.0242551338941505,0.252376394905879,-0.518903778457731,0.47039351066943,0.976036657955104,0.595172631550934,1.60062393189974,-0.096106982997345,0.92344404,
"27",,"Sat:school.hols1",0.0195577121271274,0.194785939138519,-0.362215713279181,0.401331137533436,1.01975021711662,0.696132186687585,1.49381184377859,0.10040618031068,0.92003068,
"28",,"Sat:school.hols3",0.0384687904810043,0.168903130244317,-0.292575261673935,0.369512842635944,1.03921829434876,0.74633907219418,1.44702951184655,0.227756527811885,0.81985591,
"29",,"Sat:school.hols4",0.0100302168042624,0.0733873330451667,-0.13380631288571,0.153866746494235,1.01008068803348,0.874759477835184,1.16633545813427,0.136675041700851,0.8912997,
"30",,"Sun:school.hols1",-0.0516402796209926,0.202219919968029,-0.447984039714902,0.344703480472917,0.949670421211023,0.638914881214199,1.41157129915208,-0.255366927398432,0.79846271,
"31",,"Sun:school.hols3",-0.245227351471616,0.171150483733386,-0.580676135525661,0.0902214325824296,0.782526609440212,0.559519927341526,1.09441659636945,-1.43281716839097,0.15204695,
"32",,"Sun:school.hols4",0.0611698488331248,0.0726196576819054,-0.0811620647930372,0.203501762459287,1.06307946165995,0.922044248424917,1.2256873178633,0.842331825647898,0.39969043,
"33",,"Sat:day1Yes",0.271059914294834,0.18119982317608,-0.08408521313531,0.626205041724977,1.31135363685937,0.919352911813119,1.87049862877233,1.49591710159359,0.13481342,
"34",,"Sun:day1Yes",-0.135259643266216,0.203154630985019,-0.533435403289378,0.262916116756946,0.873489086683046,0.58658634361201,1.30071760596433,-0.665796504910538,0.50560841,
"35",,"s(date).1",0.104735654436202,0.0923205787804136,-0.076209355005301,0.285680663877706,1.11041703773721,0.926622193257082,1.33066745721144,,,"***"
"36",,"s(date).2",0.142054983877835,0.0791207413877511,-0.0130188196722649,0.297128787427935,1.15264002341293,0.98706555859517,1.34598863470045,,,
"37",,"s(date).3",0.0566565951050653,0.072857745516734,-0.086141962102518,0.199455152312649,1.05829232522302,0.917463976859639,1.22073746095134,,,
"38",,"s(date).4",0.226981614646612,0.116437336446008,-0.0012313712433375,0.45519460053656,1.25480679766179,0.998769386583145,1.57648013706632,,,
"39",,"s(date).5",0.201361484470672,0.0812749129554759,0.0420655822313118,0.360657386710033,1.22306681158224,1.04296287634051,1.43427197604832,,,
"40",,"s(date).6",0.161849419093372,0.0783479140622917,0.00829032926744103,0.315408508919303,1.17568319255021,1.00832478920938,1.37081918845697,,,
"41",,"s(date).7",0.175841790868213,0.0710198310408863,0.0366454798399564,0.31503810189647,1.19224941898335,1.03732520294561,1.37031152143005,,,
"42",,"s(date).8",0.056597762276073,0.11101102390381,-0.16097984646231,0.274175371014456,1.05823006472313,0.851309227826875,1.31544547301871,,,
"43",,"s(date).9",0.0643424628759894,0.0819615464378243,-0.0962992162593533,0.224984142011332,1.06645755835369,0.908192229527565,1.25230285702989,,,
"44",,"s(date).10",0.200113737164587,0.0793898423282134,0.0445125054629748,0.355714968866198,1.22154168494712,1.04551805131598,1.42720069365161,,,
"45",,"s(date).11",0.196518969167986,0.0710304293071711,0.0573018859195123,0.33573605241646,1.21715840914154,1.05897545192348,1.39896972139729,,,
"46",,"s(date).12",0.121788568353649,0.102550230216569,-0.0792061894771165,0.322783326184415,1.12951526126072,0.923849416777244,1.38096609929288,,,
"47",,"s(date).13",0.112704932894739,0.0807011042861378,-0.0454663250187024,0.27087619080818,1.11930161513053,0.955551780218488,1.31111273252754,,,
"48",,"s(date).14",0.0881749332750563,0.0796133716194367,-0.0678644077868429,0.244214274336955,1.092179163796,0.934387160611185,1.2766178476274,,,
"49",,"s(date).15",0.0859573840531053,0.0711862849199017,-0.0535651705831087,0.225479938689319,1.08975988616611,0.947844167433827,1.25292389856868,,,
"50",,"s(date).16",0.0830100912892619,0.0918569193508305,-0.0970261623691663,0.26304634494769,1.08655277321125,0.907532262628596,1.30088700709498,,,
"51",,"s(date).17",-0.0130259614455763,0.0808221414054866,-0.171434447753734,0.145382524862581,0.98705850922188,0.842455491059826,1.15648186873546,,,
"52",,"s(date).18",0.0403364848409918,0.0824005722286486,-0.121165669032651,0.201838638714634,1.04116105016822,0.885887183362368,1.22365054235577,,,
"53",,"s(date).19",0.0515472602425557,0.0744872207501219,-0.0944450097361678,0.197539530221279,1.05289894537586,0.909877767668851,1.21840122768783,,,
"54",,"s(date).20",-0.05427158864804,0.101603978120828,-0.253411726450858,0.144868549154778,0.947174829635203,0.776148255262419,1.15588761787675,,,
"55",,"s(date).21",-0.122789032188596,0.0815858929591539,-0.282694444035077,0.0371163796578856,0.884450233409945,0.753750065505147,1.03781379422456,,,"."
"56",,"s(date).22",-0.068624350242333,0.0834302523075551,-0.232144639986231,0.0948959395015647,0.933677349879787,0.792831439884431,1.0995444300312,,,"."
"57",,"s(date).23",0.00259583666565256,0.0745427673294109,-0.143505302607942,0.148696975939247,1.00259920876683,0.866316206439869,1.16032133064988,,,
"58",,"s(date).24",-0.0442050090745028,0.0815347584261328,-0.204010199077897,0.115600180928891,0.956757793336285,0.81545405426546,1.12254696671325,,,
"59",,"s(date).25",0.0153532233601035,0.0783768533495037,-0.138262586426501,0.168969033146708,1.01547168959692,0.870869983082412,1.1840834710171,,,
"60",,"s(date).26",0.0773665946810705,0.0818579876263989,-0.0830721129135967,0.237805302275738,1.08043808665633,0.920284780410347,1.26846220207737,,,
"61",,"s(date).27",0.0470454445984198,0.0785450250967699,-0.106899975756044,0.200990864952883,1.04816964164577,0.898615551836378,1.22261360313944,,,
"62",,"s(date).28",-0.058965273177829,0.0800938349194976,-0.215946305003741,0.0980157586480827,0.942739506935868,0.805778566989049,1.10298016644784,,,
"63",,"s(date).29",0.0358815641419609,0.0769399472514589,-0.11491796144331,0.186681089727232,1.03653307653658,0.891439273298434,1.20524285942549,,,
"64",,"s(date).30",0.101676806959221,0.0820908763761682,-0.0592183541973987,0.262571968115841,1.10702563092534,0.942500947648951,1.30027004278632,,,
"65",,"s(date).31",0.0996544812569108,0.08564686205735,-0.0682102837643652,0.267519246278187,1.10478912677096,0.934064034422638,1.30671877906721,,,
"66",,"s(date).32",-0.0310725406354902,0.0725930358429103,-0.17335227641602,0.111207195145039,0.969405249252561,0.840841354086189,1.11762644964069,,,
"67",,"s(date).33",0.0735087859524846,0.0762769085608405,-0.0759912076788178,0.223008779583787,1.07627799275766,0.926824355460971,1.2498315466886,,,
"68",,"s(date).34",-0.0956711063989433,0.0927934524427443,-0.277542931187852,0.0862007183899657,0.908762853210499,0.7576430373892,1.09002509443118,,,
"69",,"s(date).35",-0.0540739455936221,0.0926110099934033,-0.235588189752572,0.127440298565327,0.947362050662459,0.790105980685279,1.13591705033919,,,"***"
"70",,"s(date).36",0.0243989469303283,0.0691600794695801,-0.111152317997977,0.159950211858633,1.02469903689188,0.89480244403159,1.17345244552113,,,
"71",,"s(date).37",0.0641237587978934,0.0759022016530059,-0.0846418227892946,0.212889340385082,1.06622434523982,0.918841333494908,1.23724773031054,,,
"72",,"s(date).38",-0.145910495949308,0.0856894565612858,-0.313858744664238,0.0220377527656217,0.864235052260991,0.73062222515842,1.02228237772894,,,
"73",,"s(date).39",-0.0327541186409134,0.100698552405048,-0.230119654650126,0.164611417368299,0.96777648853498,0.794438538550648,1.17893491606007,,,
"74",,"s(date).40",-0.0938286980017563,0.0669365344235374,-0.225021894721815,0.0373644987183026,0.910438708853507,0.798498735660297,1.03807132755621,,,
"75",,"s(date).41",0.0106991265869234,0.079194564790847,-0.144519368174461,0.165917621348307,1.01075656691278,0.865438150283702,1.18047585170865,,,
"76",,"s(date).42",-0.00441467448805345,0.0831498232882074,-0.16738533345381,0.158555984477703,0.99559505586332,0.845873605132921,1.171817525981,,,
"77",,"s(date).43",-0.0726071526049161,0.11273505105297,-0.293563792464021,0.148349487254189,0.929966093031949,0.745601657580048,1.1599182021618,,,
"78",,"s(date).44",-0.0755099096186679,0.0672483756359432,-0.207314303883937,0.0562944846466017,0.927270541591,0.812764154907514,1.05790917587933,,,
"79",,"s(date).45",-0.176845113628834,0.0761155274879507,-0.326028806169486,-0.027661421088182,0.837909555243254,0.721784395288623,0.972717652737834,,,
"80",,"s(date).46",-0.0776078146951645,0.086999919762823,-0.248124524088172,0.092908894697843,0.925327255142497,0.780262775717628,1.09736175523951,,,
"81",,"s(date).47",-0.312363751616205,0.124191064322625,-0.555773764890248,-0.0689537383421629,0.731715317184671,0.573628236043947,0.933369858316467,,,
"82",,"s(date).48",-0.0564859302661139,0.06480072408513,-0.183493015645086,0.0705211551128581,0.94507978142263,0.83235768919911,1.0730672700498,,,
"83",,"s(date).49",-0.125851108896783,0.078025541451989,-0.278778360016919,0.027076142223352,0.881746121163117,0.756707601290009,1.02744603181042,,,
"84",,"s(date).50",-0.179888450252878,0.0875955972805329,-0.351572666126998,-0.00820423437875922,0.835363390789104,0.703580721618301,0.991829328503476,,,
"85",,"s(date).51",-0.107054279003431,0.146992109157016,-0.395153518962764,0.181044960955901,0.898476903235817,0.673576624526271,1.19846906239654,,,
"86","Sydney","(Intercept)",-12.9947586594807,0.425902944431988,-13.829513091477,-12.1600042274845,2.27220766489311e-06,9.86095045975375e-07,5.23573026096305e-06,,,"***"
"87",,".cbv1.l1",0.00466752645817593,0.321364636902333,-0.625195587775188,0.63453064069154,1.00467843632722,0.535156748164475,1.88613665787261,0.0145240823731158,0.98841313,
"88",,".cbv1.l2",-0.105480108523741,0.208813850511187,-0.514747734998798,0.303787517951317,0.899892372856525,0.597651342119817,1.35498111633622,-0.505139425691925,0.61350958,
"89",,".cbv1.l3",0.121573574417092,0.233347634104292,-0.335779384304951,0.578926533139135,1.12927244843088,0.714780780281336,1.78412220636813,0.520997673208703,0.60241883,
"90",,".cbv2.l1",-0.213706911241599,0.212073004305105,-0.629362361772813,0.201948539289614,0.807585044437857,0.532931510192977,1.22378502964393,-1.0077044550854,0.31370297,
"91",,".cbv2.l2",0.292718886772122,0.153538513082892,-0.00821106911017849,0.593648842654422,1.34006602719112,0.991822549639568,1.81058290909437,1.90648509546324,0.05671251,"."
"92",,".cbv2.l3",0.264522920317933,0.163955536592811,-0.0568240264699155,0.585869867105781,1.30280928365298,0.944760307545737,1.79655306855726,1.61338205354348,0.10679949,
"93",,"Tue",-0.0551332472698674,0.0387184918113284,-0.13102009675578,0.0207536022160453,0.94635903979352,0.87720014533681,1.02097045578468,-1.42395131345835,0.15459698,
"94",,"Wed",0.0169751276122275,0.038476514286707,-0.0584374546403591,0.092387709864814,1.01712002380698,0.943237233666776,1.09678997595062,0.44118153442221,0.65912328,
"95",,"Thu",-0.0108596877655862,0.0386184233341175,-0.0865504066401778,0.0648310311090054,0.989199065769583,0.917089320228227,1.06697872294042,-0.281204845460176,0.77857873,
"96",,"Fri",0.00100994579583009,0.0384015170696315,-0.0742556446123478,0.076275536204008,1.00101045596282,0.928434314269814,1.07925990837052,0.0262996327462483,0.97902064,
"97",,"Sat",-0.0183761649479271,0.0431877720702332,-0.103022642778109,0.0662703128822547,0.981791647283922,0.902106547051886,1.06851551163949,-0.425494626535569,0.67051617,
"98",,"Sun",-0.0567940248840849,0.043625710176533,-0.142298845630072,0.0287107958619023,0.944788652278385,0.867362010404064,1.02912692366844,-1.30184757232068,0.19309961,
"99",,"public.holYes",0.119092846540786,0.0791863487145433,-0.0361095450069489,0.27429523808852,1.12647450269399,0.964534627743153,1.31560316106927,1.50395678641656,0.13273057,
"100",,"school.hols3",-0.097319971443818,0.0751533302661871,-0.244617792083789,0.0499778491961528,0.907265660581264,0.783003751289594,1.05124781013408,-1.2949522143479,0.19546743,
"101",,"school.hols4",-0.0108717061756976,0.0434140581617046,-0.0959616965953657,0.0742182842439705,0.989187177240969,0.908498813999945,1.07704188111138,-0.250419026371681,0.80228581,
"102",,"day1Yes",0.0105394365550504,0.0752669343915622,-0.136981044079151,0.158059917189251,1.01059517205131,0.871986755287361,1.17123636979653,0.140027445521043,0.88865064,
"103",,"sholXmas period",0.0644703122657265,0.0650753504275349,-0.0630750308535652,0.192015655385018,1.06659391301795,0.938873026601738,1.21168948628184,0.990702498598418,0.32193567,
"104",,"sholNYE",-0.152559692102591,0.147540479261285,-0.441733717716487,0.136614333511306,0.858507646300372,0.642920811085695,1.14638594061309,-1.03401922554702,0.3012365,
"105",,"sholNYD",-0.219630175940504,0.16967426812281,-0.552185630564405,0.112925278683397,0.802815643609111,0.575690188276509,1.11954827570197,-1.29442241519813,0.19565023,
"106",,"shol2-4 Jan",-0.0574899290725271,0.0865494870820869,-0.227123806633832,0.112143948488778,0.944131398617384,0.796822124318035,1.11867388047002,-0.66424344049551,0.50660148,
"107",,"sholAustralia Day",0.00902922858744152,0.15734642978095,-0.299364106879181,0.317422564054064,1.00907011503693,0.74128945170243,1.37358287605769,0.0573843880665839,0.95424401,
"108",,"sholXmas Day or Eve",-0.170897964371122,0.111075770930763,-0.388602474950438,0.0468065462081939,0.842907575688472,0.678003739920219,1.04791926551411,-1.53857103974231,0.12404739,
"109",,"Sat:public.holYes",-0.0538971558150264,0.204582481819052,-0.454871452048189,0.347077140418136,0.947529549395241,0.634529530177255,1.41492586913385,-0.263449515988847,0.79222786,
