"City","Excess heat factor","RRfit","RRlow","RRhigh"
"Melbourne",-84.8,35.6934029189716,-16.3362793233044,120.079855961501
"Melbourne",-84.7,35.6312920079486,-16.3106381616266,119.811060422145
"Melbourne",-84.6,35.5692096805932,-16.2849921183885,119.542601482066
"Melbourne",-84.5,35.5071560352432,-16.2593412751742,119.274479283694
"Melbourne",-84.4,35.4451311700383,-16.2336857136558,119.006693967191
"Melbourne",-84.3,35.3831351829205,-16.208025515594,118.739245670454
"Melbourne",-84.2,35.3211681716339,-16.1823607628376,118.472134529132
"Melbourne",-84.1,35.2592302337253,-16.1566915373233,118.205360676625
"Melbourne",-84,35.1973214665444,-16.1310179210755,117.938924244096
"Melbourne",-83.9,35.1354419672438,-16.1053399962065,117.672825360477
"Melbourne",-83.8,35.0735918327796,-16.0796578449156,117.407064152478
"Melbourne",-83.7,35.0117711599113,-16.0539715494897,117.141640744595
"Melbourne",-83.6,34.9499800452022,-16.0282811923026,116.876555259115
"Melbourne",-83.5,34.8882185850197,-16.002586855815,116.611807816127
"Melbourne",-83.4,34.8264868755354,-15.9768886225743,116.347398533528
"Melbourne",-83.3,34.7647850127254,-15.9511865752145,116.083327527029
"Melbourne",-83.2,34.7031130923704,-15.9254807964557,115.819594910166
"Melbourne",-83.1,34.6414712100564,-15.8997713691043,115.556200794306
"Melbourne",-83,34.5798594611743,-15.8740583760525,115.293145288655
"Melbourne",-82.9,34.5182779409206,-15.8483419002783,115.030428500263
"Melbourne",-82.8,34.4567267442976,-15.8226220248452,114.768050534036
"Melbourne",-82.7,34.3952059661134,-15.7968988329021,114.506011492742
"Melbourne",-82.6,34.3337157009824,-15.7711724076828,114.244311477017
"Melbourne",-82.5,34.2722560433254,-15.7454428325062,113.982950585373
"Melbourne",-82.4,34.2108270873699,-15.7197101907758,113.721928914208
"Melbourne",-82.3,34.1494289271503,-15.6939745659798,113.461246557812
"Melbourne",-82.2,34.0880616565083,-15.6682360416904,113.200903608372
"Melbourne",-82.1,34.0267253690928,-15.642494701564,112.940900155985
"Melbourne",-82,33.9654201583607,-15.6167506293409,112.68123628866
"Melbourne",-81.9,33.9041461175766,-15.5910039088448,112.421912092331
"Melbourne",-81.8,33.8429033398133,-15.5652546239832,112.16292765086
"Melbourne",-81.7,33.7816919179522,-15.5395028587465,111.904283046045
"Melbourne",-81.6,33.7205119446832,-15.513748697208,111.645978357632
"Melbourne",-81.5,33.6593635125052,-15.487992223524,111.388013663316
"Melbourne",-81.4,33.5982467137262,-15.462233521933,111.130389038754
"Melbourne",-81.3,33.5371616404639,-15.436472676756,110.87310455757
"Melbourne",-81.2,33.4761083846455,-15.4107097723959,110.616160291362
"Melbourne",-81.1,33.415087038008,-15.3849448933375,110.359556309711
"Melbourne",-81,33.354097692099,-15.359178124147,110.103292680186
"Melbourne",-80.9,33.2931404382762,-15.3334095494721,109.847369468357
"Melbourne",-80.8,33.2322153677082,-15.3076392540415,109.591786737795
"Melbourne",-80.7,33.1713225713745,-15.2818673226645,109.336544550085
"Melbourne",-80.6,33.110462140066,-15.2560938402314,109.081642964832
"Melbourne",-80.5,33.0496341643848,-15.2303188917124,108.827082039665
"Melbourne",-80.4,32.988838734745,-15.2045425621581,108.572861830252
"Melbourne",-80.3,32.9280759413726,-15.1787649366987,108.318982390299
"Melbourne",-80.2,32.8673458743058,-15.152986100544,108.065443771564
"Melbourne",-80.1,32.8066486233955,-15.1272061389832,107.812246023861
"Melbourne",-80,32.7459842783052,-15.1014251373843,107.559389195066
"Melbourne",-79.9,32.6853529285117,-15.0756431811942,107.306873331128
"Melbourne",-79.8,32.6247546633048,-15.0498603559385,107.054698476077
"Melbourne",-79.7,32.5641895717881,-15.0240767472206,106.802864672026
"Melbourne",-79.6,32.503657742879,-14.9982924407221,106.551371959182
"Melbourne",-79.5,32.443159265309,-14.9725075222023,106.300220375855
"Melbourne",-79.4,32.3826942276238,-14.9467220774978,106.049409958461
"Melbourne",-79.3,32.3222627181841,-14.9209361925223,105.798940741532
"Melbourne",-79.2,32.2618648251651,-14.8951499532665,105.548812757724
"Melbourne",-79.1,32.2015006365573,-14.8693634457973,105.299026037823
"Melbourne",-79,32.1411702401669,-14.8435767562582,105.04958061075
"Melbourne",-78.9,32.0808737236154,-14.8177899708686,104.800476503574
"Melbourne",-78.8,32.0206111743404,-14.7920031759234,104.551713741514
"Melbourne",-78.7,31.960382679596,-14.766216457793,104.30329234795
"Melbourne",-78.6,31.9001883264523,-14.7404299029229,104.055212344426
"Melbourne",-78.5,31.8400282017966,-14.7146435978333,103.807473750663
"Melbourne",-78.4,31.7799023923331,-14.6888576291188,103.56007658456
"Melbourne",-78.3,31.7198109845833,-14.6630720834483,103.313020862205
"Melbourne",-78.2,31.6597540648863,-14.6372870475646,103.066306597883
"Melbourne",-78.1,31.599731719399,-14.6115026082839,102.819933804081
"Melbourne",-78,31.5397440340965,-14.5857188524955,102.573902491494
"Melbourne",-77.9,31.4797910947723,-14.559935867162,102.328212669037
"Melbourne",-77.8,31.4198729870386,-14.5341537393183,102.082864343846
"Melbourne",-77.7,31.3599897963264,-14.5083725560716,101.837857521292
"Melbourne",-77.6,31.3001416078862,-14.4825924046009,101.593192204981
"Melbourne",-77.5,31.2403285067877,-14.4568133721572,101.348868396767
"Melbourne",-77.4,31.1805505779206,-14.4310355460625,101.104886096755
"Melbourne",-77.3,31.1208079059944,-14.4052590137096,100.861245303311
"Melbourne",-77.2,31.0611005755393,-14.3794838625622,100.617946013069
"Melbourne",-77.1,31.0014286709057,-14.3537101801541,100.374988220935
"Melbourne",-77,30.9417922762652,-14.3279380540892,100.132371920097
"Melbourne",-76.9,30.8821914756104,-14.3021675720406,99.8900971020304
"Melbourne",-76.8,30.8226263527553,-14.276398821751,99.6481637565079
"Melbourne",-76.7,30.7630969913358,-14.2506318910318,99.4065718716028
"Melbourne",-76.6,30.7036034748095,-14.224866867763,99.1653214336983
"Melbourne",-76.5,30.6441458864567,-14.1991038398926,98.924412427494
"Melbourne",-76.4,30.5847243093798,-14.1733428954366,98.6838448360128
"Melbourne",-76.3,30.5253388265044,-14.1475841224784,98.443618640608
"Melbourne",-76.2,30.4659895205791,-14.1218276091682,98.2037338209705
"Melbourne",-76.1,30.4066764741757,-14.0960734437233,97.9641903551352
"Melbourne",-76,30.3473997696899,-14.070321714427,97.7249882194886
"Melbourne",-75.9,30.2881594893415,-14.0445725096288,97.4861273887753
"Melbourne",-75.8,30.2289557151742,-14.0188259177437,97.2476078361053
"Melbourne",-75.7,30.1697885290564,-13.9930820272518,97.0094295329607
"Melbourne",-75.6,30.1106580126815,-13.967340926698,96.7715924492024
"Melbourne",-75.5,30.0515642475677,-13.9416027046917,96.5340965530776
"Melbourne",-75.4,29.9925073150587,-13.9158674499064,96.2969418112262
"Melbourne",-75.3,29.9334872963241,-13.8901352510791,96.060128188688
"Melbourne",-75.2,29.874504272359,-13.8644061970101,95.823655648909
"Melbourne",-75.1,29.8155583239851,-13.8386803765625,95.5875241537492
"Melbourne",-75,29.7566495318507,-13.8129578786618,95.3517336634885
"Melbourne",-74.9,29.6977779764306,-13.7872387922956,95.1162841368341
"Melbourne",-74.8,29.6389437380269,-13.7615232065131,94.881175530927
"Melbourne",-74.7,29.5801468967691,-13.7358112104247,94.6464078013492
"Melbourne",-74.6,29.5213875326144,-13.7101028932015,94.4119809021301
"Melbourne",-74.5,29.4626657253479,-13.6843983440752,94.1778947857533
"Melbourne",-74.4,29.4039815545831,-13.6586976523371,93.9441494031638
"Melbourne",-74.3,29.3453350997618,-13.6330009073383,93.7107447037741
"Melbourne",-74.2,29.2867264401551,-13.6073081984889,93.4776806354717
"Melbourne",-74.1,29.2281556548627,-13.5816196152576,93.2449571446248
"Melbourne",-74,29.1696228228143,-13.5559352471713,93.0125741760903
"Melbourne",-73.9,29.1111280227687,-13.5302551838148,92.7805316732193
"Melbourne",-73.8,29.0526713333153,-13.5045795148302,92.5488295778646
"Melbourne",-73.7,28.9942528328735,-13.4789083299163,92.3174678303871
