"","location","Parameter","Coefficient","SE","LCI","UCI","RR","RR LCI","RR UCI","t-value","p-value","sig"
"1","Melbourne","(Intercept)",-4.99596800490294,0.478287321412976,-5.9333939291345,-4.05854208067137,0.00676516921138406,0.00264947458319539,0.0172741851342695,-10.4455371932997,0,"***"
"2",,".cbv1.l1",0.0278038094601264,0.0316930938358057,-0.0343135130167012,0.089921131936954,1.02819394270745,0.966268519386622,1.09408799170171,0.877282905991168,0.3804255,
"3",,".cbv1.l2",0.00759344330586018,0.0217535526339691,-0.0350427363925156,0.050229623004236,1.00762234660869,0.96556415064726,1.0515125201206,0.349066813758168,0.72707141,
"4",,".cbv1.l3",6.83712377663763e-06,0.0253451947895151,-0.0496688318448253,0.0496825060923785,1.00000683714715,0.951544493561914,1.05093737718737,0.000269760159013101,0.99978479,
"5",,".cbv2.l1",0.0444755421544242,0.0285729908139825,-0.0115264907715753,0.100477575080424,1.04547940622389,0.98853968472207,1.10569884621836,1.55655886511746,0.11971417,
"6",,".cbv2.l2",-0.0192466537624312,0.0218557176690994,-0.0620830732501417,0.0235897657252794,0.980937380505569,0.939804810907984,1.02387020507319,-0.880623279172523,0.37861465,
"7",,".cbv2.l3",-0.00374312187690424,0.0233229735727921,-0.0494553100919561,0.0419690663381477,0.996263874871172,0.951747690702845,1.04286221870457,-0.160490765262919,0.87250873,
"8",,"Tue",-0.0011681738274556,0.00635374190740233,-0.013621279133027,0.0112849314781158,0.99883250822198,0.98647107070641,1.01134884651669,-0.183856040185491,0.85414276,
"9",,"Wed",0.00749291573992883,0.00640366584109655,-0.0050580386776498,0.0200438701575075,1.00752105787805,0.994954731659956,1.02024609740198,1.17009786673156,0.24208399,
"10",,"Thu",-0.00191124494738916,0.0064044654833656,-0.0144637666350157,0.0106412767402373,0.998090580318207,0.98564033115125,1.01069809649162,-0.298423803259344,0.76540694,
"11",,"Fri",-0.000364714980844749,0.00639445570888888,-0.0128976178710035,0.012168187909314,0.999635351519579,0.987185199969064,1.01224252150355,-0.0570361258954006,0.95452142,
"12",,"Sat",-0.0100071816677445,0.00724437530292622,-0.0242058963519713,0.00419153301648238,0.990042723565743,0.976084716784358,1.00420032977734,-1.38137261658742,0.16729989,
"13",,"Sun",-0.00681693341462789,0.00724198821845782,-0.0210109694992686,0.00737710267001282,0.993206249168009,0.979208223086658,1.00740438052784,-0.941306891007282,0.34664742,
"14",,"public.holYes",-0.00347723572485853,0.0104390824496682,-0.0239374613578524,0.0169829899081353,0.996528802858065,0.976346767249752,1.01712802073702,-0.333097831310745,0.73909109,
"15",,"monthFeb",-0.000285966641949008,0.0146253662341421,-0.0289511577215757,0.0283792244376777,0.999714074242614,0.971463911818737,1.0287857511533,-0.0195527850291663,0.98440184,
"16",,"monthMar",0.00284057539266801,0.0203810491548464,-0.0371055469179715,0.0427866977033075,1.0028446136497,0.963574427670605,1.04371524424682,0.139373364495937,0.88916744,
"17",,"monthOct",-0.0288145510780453,0.0308977107089304,-0.0893729512722864,0.0317438491161959,0.971596629307881,0.914504444370081,1.03225305890413,-0.932578835677847,0.35113629,
"18",,"monthNov",-0.0311541199637289,0.0240355501357055,-0.0782629325783184,0.0159546926508606,0.969326169049235,0.924721255232246,1.01608264835189,-1.29616837508739,0.19504878,
"19",,"monthDec",-0.0470625779129218,0.017069626647796,-0.0805184313721471,-0.0136067244536965,0.954027694660347,0.922637897944584,0.986485428581,-2.75709474401412,0.00587825,"**"
"20",,"school.hols1",-0.0286146809088954,0.019048676577158,-0.0659494009532768,0.00872003913548599,0.971790841898531,0.936178232819351,1.00875816942871,-1.50218734582372,0.13318733,
