"City","Excess heat factor","RRfit","RRlow","RRhigh"
"Melbourne",-84.8,-3.99678813381837,-27.7874836182451,27.6318448715853
"Melbourne",-84.7,-3.9914767872036,-27.7505400900011,27.5806980562134
"Melbourne",-84.6,-3.98616515476994,-27.7135778261493,27.5295720061509
"Melbourne",-84.5,-3.98085324233545,-27.6765968951298,27.4784668346045
"Melbourne",-84.4,-3.97554105571951,-27.6395973655374,27.4273826545891
"Melbourne",-84.3,-3.97022860074276,-27.6025793061213,27.3763195789281
"Melbourne",-84.2,-3.96491588322715,-27.5655427857856,27.3252777202531
"Melbourne",-84.1,-3.95960290899591,-27.5284878735896,27.2742571910044
"Melbourne",-84,-3.95428968387355,-27.4914146387477,27.2232581034313
"Melbourne",-83.9,-3.94897621368588,-27.4543231506297,27.1722805695921
"Melbourne",-83.8,-3.94366250426003,-27.4172134787611,27.1213247013544
"Melbourne",-83.7,-3.93834856142437,-27.3800856928231,27.0703906103953
"Melbourne",-83.6,-3.93303439100858,-27.3429398626531,27.0194784082015
"Melbourne",-83.5,-3.92771999884368,-27.3057760582444,26.9685882060697
"Melbourne",-83.4,-3.9224053907619,-27.2685943497468,26.9177201151064
"Melbourne",-83.3,-3.91709057259682,-27.2313948074668,26.8668742462286
"Melbourne",-83.2,-3.91177555018327,-27.1941775018675,26.8160507101639
"Melbourne",-83.1,-3.90646032935742,-27.1569425035689,26.7652496174501
"Melbourne",-83,-3.9011449159567,-27.1196898833482,26.7144710784365
"Melbourne",-82.9,-3.89582931581984,-27.0824197121399,26.6637152032829
"Melbourne",-82.8,-3.89051353478685,-27.0451320610359,26.612982101961
"Melbourne",-82.7,-3.88519757869907,-27.0078270012859,26.5622718842535
"Melbourne",-82.6,-3.87988145339908,-26.9705046042974,26.511584659755
"Melbourne",-82.5,-3.87456516473079,-26.933164941636,26.4609205378722
"Melbourne",-82.4,-3.8692487185394,-26.8958080850253,26.4102796278237
"Melbourne",-82.3,-3.86393212067138,-26.8584341063475,26.3596620386405
"Melbourne",-82.2,-3.85861537697451,-26.8210430776434,26.3090678791663
